Local;Departamento;Provincia;Distrito;Mes;Tipo Transaccion;TRANSACCIONES
AG CAÑETE;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;SEPTIEMBRE;RRCC COPIAS CERTIF;304
AG CAÑETE;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;SEPTIEMBRE;CERTIFICACION DE RUIPN;556
AG CAÑETE;LIMA;CAÑETE;SAN VICENTE DE CAÑETE;SEPTIEMBRE;CERTIFICADOS DIGITALES;3
AG OYON;LIMA;OYON;OYON;JULIO;TRAMITE DNI;172
AG OYON;LIMA;OYON;OYON;JULIO;ENTREGA DNI;141
AG OYON;LIMA;OYON;OYON;AGOSTO;TRAMITE DNI;124
AG OYON;LIMA;OYON;OYON;AGOSTO;ENTREGA DNI;127
AG OYON;LIMA;OYON;OYON;SEPTIEMBRE;TRAMITE DNI;125
AG OYON;LIMA;OYON;OYON;SEPTIEMBRE;ENTREGA DNI;185
AG ALTO AMAZONAS;LORETO;ALTO AMAZONAS;YURIMAGUAS;JULIO;TRAMITE DNI;945
AG ALTO AMAZONAS;LORETO;ALTO AMAZONAS;YURIMAGUAS;JULIO;ENTREGA DNI;1,355
AG ALTO AMAZONAS;LORETO;ALTO AMAZONAS;YURIMAGUAS;JULIO;CERTIFICACION DE RUIPN;123
AG ALTO AMAZONAS;LORETO;ALTO AMAZONAS;YURIMAGUAS;JULIO;CERTIFICADOS DIGITALES;1
AG ALTO AMAZONAS;LORETO;ALTO AMAZONAS;YURIMAGUAS;AGOSTO;TRAMITE DNI;961
AG ALTO AMAZONAS;LORETO;ALTO AMAZONAS;YURIMAGUAS;AGOSTO;ENTREGA DNI;1,349
AG ALTO AMAZONAS;LORETO;ALTO AMAZONAS;YURIMAGUAS;AGOSTO;CERTIFICACION DE RUIPN;157
AG ALTO AMAZONAS;LORETO;ALTO AMAZONAS;YURIMAGUAS;AGOSTO;CERTIFICADOS DIGITALES;3
AG ALTO AMAZONAS;LORETO;ALTO AMAZONAS;YURIMAGUAS;SEPTIEMBRE;TRAMITE DNI;1,017
AG ALTO AMAZONAS;LORETO;ALTO AMAZONAS;YURIMAGUAS;SEPTIEMBRE;ENTREGA DNI;1,203
AG ALTO AMAZONAS;LORETO;ALTO AMAZONAS;YURIMAGUAS;SEPTIEMBRE;CERTIFICACION DE RUIPN;151
AG BELLAVISTA;SAN MARTIN;BELLAVISTA;BELLAVISTA;JULIO;TRAMITE DNI;599
AG BELLAVISTA;SAN MARTIN;BELLAVISTA;BELLAVISTA;JULIO;ENTREGA DNI;760
AG BELLAVISTA;SAN MARTIN;BELLAVISTA;BELLAVISTA;JULIO;RRCC COPIAS CERTIF;7
AG BELLAVISTA;SAN MARTIN;BELLAVISTA;BELLAVISTA;JULIO;CERTIFICACION DE RUIPN;10
AG BELLAVISTA;SAN MARTIN;BELLAVISTA;BELLAVISTA;AGOSTO;TRAMITE DNI;637
AG BELLAVISTA;SAN MARTIN;BELLAVISTA;BELLAVISTA;AGOSTO;ENTREGA DNI;758
AG BELLAVISTA;SAN MARTIN;BELLAVISTA;BELLAVISTA;AGOSTO;RRCC COPIAS CERTIF;24
AG BELLAVISTA;SAN MARTIN;BELLAVISTA;BELLAVISTA;AGOSTO;CERTIFICACION DE RUIPN;27
AG BELLAVISTA;SAN MARTIN;BELLAVISTA;BELLAVISTA;AGOSTO;CERTIFICADOS DIGITALES;1
AG BELLAVISTA;SAN MARTIN;BELLAVISTA;BELLAVISTA;SEPTIEMBRE;TRAMITE DNI;553
AG BELLAVISTA;SAN MARTIN;BELLAVISTA;BELLAVISTA;SEPTIEMBRE;ENTREGA DNI;709
AG BELLAVISTA;SAN MARTIN;BELLAVISTA;BELLAVISTA;SEPTIEMBRE;RRCC COPIAS CERTIF;25
AG BELLAVISTA;SAN MARTIN;BELLAVISTA;BELLAVISTA;SEPTIEMBRE;CERTIFICACION DE RUIPN;29
AG MARISCAL CACERES;SAN MARTIN;MARISCAL CACERES;JUANJUI;JULIO;TRAMITE DNI;614
AG MARISCAL CACERES;SAN MARTIN;MARISCAL CACERES;JUANJUI;JULIO;ENTREGA DNI;835
AG MARISCAL CACERES;SAN MARTIN;MARISCAL CACERES;JUANJUI;JULIO;RRCC COPIAS CERTIF;51
AG MARISCAL CACERES;SAN MARTIN;MARISCAL CACERES;JUANJUI;JULIO;CERTIFICACION DE RUIPN;66
AG MARISCAL CACERES;SAN MARTIN;MARISCAL CACERES;JUANJUI;JULIO;CERTIFICADOS DIGITALES;1
AG MARISCAL CACERES;SAN MARTIN;MARISCAL CACERES;JUANJUI;AGOSTO;TRAMITE DNI;785
AG MARISCAL CACERES;SAN MARTIN;MARISCAL CACERES;JUANJUI;AGOSTO;ENTREGA DNI;881
AG MARISCAL CACERES;SAN MARTIN;MARISCAL CACERES;JUANJUI;AGOSTO;RRCC COPIAS CERTIF;63
AG MARISCAL CACERES;SAN MARTIN;MARISCAL CACERES;JUANJUI;AGOSTO;CERTIFICACION DE RUIPN;104
AG MARISCAL CACERES;SAN MARTIN;MARISCAL CACERES;JUANJUI;SEPTIEMBRE;TRAMITE DNI;572
AG MARISCAL CACERES;SAN MARTIN;MARISCAL CACERES;JUANJUI;SEPTIEMBRE;ENTREGA DNI;896
AG MARISCAL CACERES;SAN MARTIN;MARISCAL CACERES;JUANJUI;SEPTIEMBRE;RRCC COPIAS CERTIF;75
AG MARISCAL CACERES;SAN MARTIN;MARISCAL CACERES;JUANJUI;SEPTIEMBRE;CERTIFICACION DE RUIPN;95
AG MOYOBAMBA;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;JULIO;TRAMITE DNI;857
AG MOYOBAMBA;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;JULIO;ENTREGA DNI;1,309
AG MOYOBAMBA;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;JULIO;CERTIFICACION DE RUIPN;182
AG MOYOBAMBA;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;JULIO;CERTIFICADOS DIGITALES;3
AG MOYOBAMBA;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;AGOSTO;TRAMITE DNI;982
AG MOYOBAMBA;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;AGOSTO;ENTREGA DNI;1,643
AG MOYOBAMBA;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;AGOSTO;CERTIFICACION DE RUIPN;223
AG MOYOBAMBA;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;AGOSTO;CERTIFICADOS DIGITALES;8
AG MOYOBAMBA;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;SEPTIEMBRE;TRAMITE DNI;1,144
AG MOYOBAMBA;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;SEPTIEMBRE;ENTREGA DNI;1,469
AG MOYOBAMBA;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;SEPTIEMBRE;CERTIFICACION DE RUIPN;223
AG MOYOBAMBA;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;SEPTIEMBRE;CERTIFICADOS DIGITALES;11
PAP NAUTA;LORETO;LORETO;NAUTA;JULIO;TRAMITE DNI;326
PAP NAUTA;LORETO;LORETO;NAUTA;JULIO;ENTREGA DNI;375
PAP NAUTA;LORETO;LORETO;NAUTA;JULIO;RRCC COPIAS CERTIF;32
PAP NAUTA;LORETO;LORETO;NAUTA;JULIO;CERTIFICACION DE RUIPN;57
PAP NAUTA;LORETO;LORETO;NAUTA;AGOSTO;TRAMITE DNI;347
PAP NAUTA;LORETO;LORETO;NAUTA;AGOSTO;ENTREGA DNI;405
PAP NAUTA;LORETO;LORETO;NAUTA;AGOSTO;RRCC COPIAS CERTIF;25
PAP NAUTA;LORETO;LORETO;NAUTA;AGOSTO;CERTIFICACION DE RUIPN;36
PAP NAUTA;LORETO;LORETO;NAUTA;SEPTIEMBRE;TRAMITE DNI;285
PAP NAUTA;LORETO;LORETO;NAUTA;SEPTIEMBRE;ENTREGA DNI;331
PAP NAUTA;LORETO;LORETO;NAUTA;SEPTIEMBRE;RRCC COPIAS CERTIF;16
PAP NAUTA;LORETO;LORETO;NAUTA;SEPTIEMBRE;CERTIFICACION DE RUIPN;55
PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA;LORETO;MARISCAL RAMON CASTILLA;RAMON CASTILLA;JULIO;TRAMITE DNI;216
PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA;LORETO;MARISCAL RAMON CASTILLA;RAMON CASTILLA;JULIO;ENTREGA DNI;364
PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA;LORETO;MARISCAL RAMON CASTILLA;RAMON CASTILLA;JULIO;RRCC COPIAS CERTIF;16
PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA;LORETO;MARISCAL RAMON CASTILLA;RAMON CASTILLA;JULIO;CERTIFICACION DE RUIPN;45
PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA;LORETO;MARISCAL RAMON CASTILLA;RAMON CASTILLA;AGOSTO;TRAMITE DNI;277
PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA;LORETO;MARISCAL RAMON CASTILLA;RAMON CASTILLA;AGOSTO;ENTREGA DNI;331
PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA;LORETO;MARISCAL RAMON CASTILLA;RAMON CASTILLA;AGOSTO;RRCC COPIAS CERTIF;29
PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA;LORETO;MARISCAL RAMON CASTILLA;RAMON CASTILLA;AGOSTO;CERTIFICACION DE RUIPN;47
PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA;LORETO;MARISCAL RAMON CASTILLA;RAMON CASTILLA;SEPTIEMBRE;TRAMITE DNI;244
PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA;LORETO;MARISCAL RAMON CASTILLA;RAMON CASTILLA;SEPTIEMBRE;ENTREGA DNI;277
PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA;LORETO;MARISCAL RAMON CASTILLA;RAMON CASTILLA;SEPTIEMBRE;RRCC COPIAS CERTIF;25
PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA;LORETO;MARISCAL RAMON CASTILLA;RAMON CASTILLA;SEPTIEMBRE;CERTIFICACION DE RUIPN;25
PAP YAVARI;LORETO;MARISCAL RAMON CASTILLA;YAVARI;JULIO;TRAMITE DNI;102
PAP YAVARI;LORETO;MARISCAL RAMON CASTILLA;YAVARI;AGOSTO;TRAMITE DNI;103
PAP PUNCHANA;LORETO;MAYNAS;PUNCHANA;JULIO;TRAMITE DNI;461
PAP PUNCHANA;LORETO;MAYNAS;PUNCHANA;JULIO;ENTREGA DNI;574
PAP PUNCHANA;LORETO;MAYNAS;PUNCHANA;AGOSTO;TRAMITE DNI;586
PAP PUNCHANA;LORETO;MAYNAS;PUNCHANA;AGOSTO;ENTREGA DNI;618
PAP PUNCHANA;LORETO;MAYNAS;PUNCHANA;SEPTIEMBRE;TRAMITE DNI;519
PAP PUNCHANA;LORETO;MAYNAS;PUNCHANA;SEPTIEMBRE;ENTREGA DNI;757
PAP PUTUMAYO;LORETO;MAYNAS;PUTUMAYO;JULIO;TRAMITE DNI;25
PAP PUTUMAYO;LORETO;MAYNAS;PUTUMAYO;AGOSTO;TRAMITE DNI;43
PAP PUTUMAYO;LORETO;MAYNAS;PUTUMAYO;SEPTIEMBRE;TRAMITE DNI;7
PAP REQUENA;LORETO;REQUENA;REQUENA;JULIO;TRAMITE DNI;182
PAP REQUENA;LORETO;REQUENA;REQUENA;JULIO;ENTREGA DNI;642
PAP REQUENA;LORETO;REQUENA;REQUENA;JULIO;RRCC COPIAS CERTIF;36
PAP REQUENA;LORETO;REQUENA;REQUENA;JULIO;CERTIFICACION DE RUIPN;22
PAP REQUENA;LORETO;REQUENA;REQUENA;AGOSTO;TRAMITE DNI;199
PAP REQUENA;LORETO;REQUENA;REQUENA;AGOSTO;ENTREGA DNI;346
PAP REQUENA;LORETO;REQUENA;REQUENA;AGOSTO;RRCC COPIAS CERTIF;36
PAP REQUENA;LORETO;REQUENA;REQUENA;AGOSTO;CERTIFICACION DE RUIPN;29
PAP REQUENA;LORETO;REQUENA;REQUENA;SEPTIEMBRE;TRAMITE DNI;203
PAP REQUENA;LORETO;REQUENA;REQUENA;SEPTIEMBRE;ENTREGA DNI;1,341
PAP REQUENA;LORETO;REQUENA;REQUENA;SEPTIEMBRE;RRCC COPIAS CERTIF;47
PAP REQUENA;LORETO;REQUENA;REQUENA;SEPTIEMBRE;CERTIFICACION DE RUIPN;65
OR CUSCO;CUSCO;CUSCO;CUSCO;JULIO;TRAMITE DNI;6,712
OR CUSCO;CUSCO;CUSCO;CUSCO;JULIO;ENTREGA DNI;11,946
OR CUSCO;CUSCO;CUSCO;CUSCO;JULIO;RRCC ACTA REGISTRAL;237
OR CUSCO;CUSCO;CUSCO;CUSCO;JULIO;RRCC COPIAS CERTIF;2,498
OR CUSCO;CUSCO;CUSCO;CUSCO;JULIO;CERTIFICACION DE RUIPN;3,464
OR CUSCO;CUSCO;CUSCO;CUSCO;JULIO;CERTIFICADOS DIGITALES;43
OR CUSCO;CUSCO;CUSCO;CUSCO;AGOSTO;TRAMITE DNI;6,932
OR CUSCO;CUSCO;CUSCO;CUSCO;AGOSTO;ENTREGA DNI;14,028
OR CUSCO;CUSCO;CUSCO;CUSCO;AGOSTO;RRCC ACTA REGISTRAL;255
OR CUSCO;CUSCO;CUSCO;CUSCO;AGOSTO;RRCC COPIAS CERTIF;3,460
OR CUSCO;CUSCO;CUSCO;CUSCO;AGOSTO;CERTIFICACION DE RUIPN;2,953
OR CUSCO;CUSCO;CUSCO;CUSCO;AGOSTO;CERTIFICADOS DIGITALES;42
OR CUSCO;CUSCO;CUSCO;CUSCO;SEPTIEMBRE;TRAMITE DNI;6,926
OR CUSCO;CUSCO;CUSCO;CUSCO;SEPTIEMBRE;ENTREGA DNI;13,721
OR CUSCO;CUSCO;CUSCO;CUSCO;SEPTIEMBRE;RRCC ACTA REGISTRAL;350
OR CUSCO;CUSCO;CUSCO;CUSCO;SEPTIEMBRE;RRCC COPIAS CERTIF;3,154
OR CUSCO;CUSCO;CUSCO;CUSCO;SEPTIEMBRE;CERTIFICACION DE RUIPN;3,314
OR CUSCO;CUSCO;CUSCO;CUSCO;SEPTIEMBRE;CERTIFICADOS DIGITALES;29
AG MATUCANA;LIMA;HUAROCHIRI;MATUCANA;JULIO;TRAMITE DNI;92
AG MATUCANA;LIMA;HUAROCHIRI;MATUCANA;JULIO;ENTREGA DNI;131
AG MATUCANA;LIMA;HUAROCHIRI;MATUCANA;AGOSTO;TRAMITE DNI;113
AG MATUCANA;LIMA;HUAROCHIRI;MATUCANA;AGOSTO;ENTREGA DNI;93
AG MATUCANA;LIMA;HUAROCHIRI;MATUCANA;SEPTIEMBRE;TRAMITE DNI;87
AG MATUCANA;LIMA;HUAROCHIRI;MATUCANA;SEPTIEMBRE;ENTREGA DNI;81
OR ANDAHUAYLAS;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;JULIO;TRAMITE DNI;1,638
OR ANDAHUAYLAS;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;JULIO;ENTREGA DNI;2,325
OR ANDAHUAYLAS;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;JULIO;RRCC ACTA REGISTRAL;6
OR ANDAHUAYLAS;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;JULIO;RRCC COPIAS CERTIF;216
OR ANDAHUAYLAS;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;JULIO;CERTIFICACION DE RUIPN;580
OR ANDAHUAYLAS;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;JULIO;CERTIFICADOS DIGITALES;5
OR ANDAHUAYLAS;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;AGOSTO;TRAMITE DNI;1,606
OR ANDAHUAYLAS;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;AGOSTO;ENTREGA DNI;2,269
OR ANDAHUAYLAS;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;AGOSTO;RRCC ACTA REGISTRAL;26
OR ANDAHUAYLAS;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;AGOSTO;RRCC COPIAS CERTIF;402
OR ANDAHUAYLAS;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;AGOSTO;CERTIFICACION DE RUIPN;736
OR ANDAHUAYLAS;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;AGOSTO;CERTIFICADOS DIGITALES;6
OR ANDAHUAYLAS;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;SEPTIEMBRE;TRAMITE DNI;1,421
OR ANDAHUAYLAS;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;SEPTIEMBRE;ENTREGA DNI;2,146
OR ANDAHUAYLAS;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;SEPTIEMBRE;RRCC ACTA REGISTRAL;6
OR ANDAHUAYLAS;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;SEPTIEMBRE;RRCC COPIAS CERTIF;291
OR ANDAHUAYLAS;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;SEPTIEMBRE;CERTIFICACION DE RUIPN;556
OR ANDAHUAYLAS;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;SEPTIEMBRE;CERTIFICADOS DIGITALES;7
OR HUAMANGA;AYACUCHO;HUAMANGA;AYACUCHO;JULIO;TRAMITE DNI;3,623
OR HUAMANGA;AYACUCHO;HUAMANGA;AYACUCHO;JULIO;ENTREGA DNI;5,619
OR HUAMANGA;AYACUCHO;HUAMANGA;AYACUCHO;JULIO;RRCC ACTA REGISTRAL;160
OR HUAMANGA;AYACUCHO;HUAMANGA;AYACUCHO;JULIO;RRCC COPIAS CERTIF;403
OR HUAMANGA;AYACUCHO;HUAMANGA;AYACUCHO;JULIO;CERTIFICACION DE RUIPN;1,472
OR HUAMANGA;AYACUCHO;HUAMANGA;AYACUCHO;JULIO;CERTIFICADOS DIGITALES;23
OR HUAMANGA;AYACUCHO;HUAMANGA;AYACUCHO;AGOSTO;TRAMITE DNI;3,556
OR HUAMANGA;AYACUCHO;HUAMANGA;AYACUCHO;AGOSTO;ENTREGA DNI;5,625
OR HUAMANGA;AYACUCHO;HUAMANGA;AYACUCHO;AGOSTO;RRCC ACTA REGISTRAL;271
OR HUAMANGA;AYACUCHO;HUAMANGA;AYACUCHO;AGOSTO;RRCC COPIAS CERTIF;592
OR HUAMANGA;AYACUCHO;HUAMANGA;AYACUCHO;AGOSTO;CERTIFICACION DE RUIPN;1,304
OR HUAMANGA;AYACUCHO;HUAMANGA;AYACUCHO;AGOSTO;CERTIFICADOS DIGITALES;11
OR HUAMANGA;AYACUCHO;HUAMANGA;AYACUCHO;SEPTIEMBRE;TRAMITE DNI;3,693
OR HUAMANGA;AYACUCHO;HUAMANGA;AYACUCHO;SEPTIEMBRE;ENTREGA DNI;5,714
OR HUAMANGA;AYACUCHO;HUAMANGA;AYACUCHO;SEPTIEMBRE;RRCC ACTA REGISTRAL;220
OR HUAMANGA;AYACUCHO;HUAMANGA;AYACUCHO;SEPTIEMBRE;RRCC COPIAS CERTIF;624
OR HUAMANGA;AYACUCHO;HUAMANGA;AYACUCHO;SEPTIEMBRE;CERTIFICACION DE RUIPN;1,462
OR HUAMANGA;AYACUCHO;HUAMANGA;AYACUCHO;SEPTIEMBRE;CERTIFICADOS DIGITALES;5
AG HUANTA;AYACUCHO;HUANTA;HUANTA;JULIO;TRAMITE DNI;751
AG HUANTA;AYACUCHO;HUANTA;HUANTA;JULIO;ENTREGA DNI;1,040
AG HUANTA;AYACUCHO;HUANTA;HUANTA;JULIO;RRCC ACTA REGISTRAL;8
AG HUANTA;AYACUCHO;HUANTA;HUANTA;JULIO;RRCC COPIAS CERTIF;100
AG HUANTA;AYACUCHO;HUANTA;HUANTA;JULIO;CERTIFICACION DE RUIPN;228
AG HUANTA;AYACUCHO;HUANTA;HUANTA;JULIO;CERTIFICADOS DIGITALES;3
AG HUANTA;AYACUCHO;HUANTA;HUANTA;AGOSTO;TRAMITE DNI;726
AG HUANTA;AYACUCHO;HUANTA;HUANTA;AGOSTO;ENTREGA DNI;1,183
AG HUANTA;AYACUCHO;HUANTA;HUANTA;AGOSTO;RRCC COPIAS CERTIF;142
AG HUANTA;AYACUCHO;HUANTA;HUANTA;AGOSTO;CERTIFICACION DE RUIPN;243
AG HUANTA;AYACUCHO;HUANTA;HUANTA;SEPTIEMBRE;TRAMITE DNI;743
AG HUANTA;AYACUCHO;HUANTA;HUANTA;SEPTIEMBRE;ENTREGA DNI;1,097
AG HUANTA;AYACUCHO;HUANTA;HUANTA;SEPTIEMBRE;RRCC ACTA REGISTRAL;8
AG HUANTA;AYACUCHO;HUANTA;HUANTA;SEPTIEMBRE;RRCC COPIAS CERTIF;166
AG HUANTA;AYACUCHO;HUANTA;HUANTA;SEPTIEMBRE;CERTIFICACION DE RUIPN;262
AG HUANTA;AYACUCHO;HUANTA;HUANTA;SEPTIEMBRE;CERTIFICADOS DIGITALES;1
AG HUARAZ;ANCASH;HUARAZ;HUARAZ;JULIO;TRAMITE DNI;2,281
AG HUARAZ;ANCASH;HUARAZ;HUARAZ;JULIO;ENTREGA DNI;3,404
AG HUARAZ;ANCASH;HUARAZ;HUARAZ;JULIO;RRCC COPIAS CERTIF;340
AG HUARAZ;ANCASH;HUARAZ;HUARAZ;JULIO;CERTIFICACION DE RUIPN;564
AG HUARAZ;ANCASH;HUARAZ;HUARAZ;JULIO;CERTIFICADOS DIGITALES;3
AG HUARAZ;ANCASH;HUARAZ;HUARAZ;AGOSTO;TRAMITE DNI;2,696
AG HUARAZ;ANCASH;HUARAZ;HUARAZ;AGOSTO;ENTREGA DNI;3,570
AG HUARAZ;ANCASH;HUARAZ;HUARAZ;AGOSTO;RRCC COPIAS CERTIF;477
AG HUARAZ;ANCASH;HUARAZ;HUARAZ;AGOSTO;CERTIFICACION DE RUIPN;629
AG HUARAZ;ANCASH;HUARAZ;HUARAZ;AGOSTO;CERTIFICADOS DIGITALES;1
AG HUARAZ;ANCASH;HUARAZ;HUARAZ;SEPTIEMBRE;TRAMITE DNI;2,734
AG HUARAZ;ANCASH;HUARAZ;HUARAZ;SEPTIEMBRE;ENTREGA DNI;3,960
AG HUARAZ;ANCASH;HUARAZ;HUARAZ;SEPTIEMBRE;RRCC COPIAS CERTIF;422
AG HUARAZ;ANCASH;HUARAZ;HUARAZ;SEPTIEMBRE;CERTIFICACION DE RUIPN;628
AG HUARAZ;ANCASH;HUARAZ;HUARAZ;SEPTIEMBRE;CERTIFICADOS DIGITALES;3
OR SANTA;ANCASH;SANTA;CHIMBOTE;JULIO;TRAMITE DNI;2,341
OR SANTA;ANCASH;SANTA;CHIMBOTE;JULIO;ENTREGA DNI;4,027
OR SANTA;ANCASH;SANTA;CHIMBOTE;JULIO;RRCC ACTA REGISTRAL;58
OR SANTA;ANCASH;SANTA;CHIMBOTE;JULIO;RRCC COPIAS CERTIF;623
OR SANTA;ANCASH;SANTA;CHIMBOTE;JULIO;CERTIFICACION DE RUIPN;893
OR SANTA;ANCASH;SANTA;CHIMBOTE;JULIO;CERTIFICADOS DIGITALES;15
OR SANTA;ANCASH;SANTA;CHIMBOTE;AGOSTO;TRAMITE DNI;2,622
OR SANTA;ANCASH;SANTA;CHIMBOTE;AGOSTO;ENTREGA DNI;4,721
OR SANTA;ANCASH;SANTA;CHIMBOTE;AGOSTO;RRCC ACTA REGISTRAL;64
OR SANTA;ANCASH;SANTA;CHIMBOTE;AGOSTO;RRCC COPIAS CERTIF;740
OR SANTA;ANCASH;SANTA;CHIMBOTE;AGOSTO;CERTIFICACION DE RUIPN;919
OR SANTA;ANCASH;SANTA;CHIMBOTE;AGOSTO;CERTIFICADOS DIGITALES;21
OR SANTA;ANCASH;SANTA;CHIMBOTE;SEPTIEMBRE;TRAMITE DNI;2,216
OR SANTA;ANCASH;SANTA;CHIMBOTE;SEPTIEMBRE;ENTREGA DNI;4,375
OR SANTA;ANCASH;SANTA;CHIMBOTE;SEPTIEMBRE;RRCC ACTA REGISTRAL;81
OR SANTA;ANCASH;SANTA;CHIMBOTE;SEPTIEMBRE;RRCC COPIAS CERTIF;804
OR SANTA;ANCASH;SANTA;CHIMBOTE;SEPTIEMBRE;CERTIFICACION DE RUIPN;1,033
OR SANTA;ANCASH;SANTA;CHIMBOTE;SEPTIEMBRE;CERTIFICADOS DIGITALES;17
PANP CORONGO;ANCASH;CORONGO;CORONGO;JULIO;TRAMITE DNI;2
PANP CORONGO;ANCASH;CORONGO;CORONGO;SEPTIEMBRE;TRAMITE DNI;23
